Date,Open,High,Low,Close,Adj Close
2022-08-01,115.3,116.72,114.34,114.86,114.86
2022-08-02,114.0,116.35,113.72,115.13,115.13
2022-08-03,115.71,118.62,115.48,118.08,118.08
2022-08-04,117.48,118.78,116.89,118.19,118.19
2022-08-05,116.23,118.11,116.0,117.47,117.47
2022-08-08,118.39,120.15,116.88,117.3,117.3
2022-08-09,117.14,117.32,115.71,116.63,116.63
2022-08-10,118.78,120.92,118.41,119.7,119.7
2022-08-11,121.28,121.49,118.56,118.84,118.84
2022-08-12,120.26,121.68,119.46,121.68,121.68
2022-08-15,121.13,122.3,120.61,122.08,122.08
2022-08-16,121.52,122.43,120.64,121.7,121.7
2022-08-17,120.12,121.29,119.38,119.55,119.55
2022-08-18,119.43,120.82,118.72,120.17,120.17
2022-08-19,119.06,119.15,116.76,117.21,117.21
2022-08-22,115.2,115.63,113.85,114.24,114.24
2022-08-23,113.47,115.01,113.43,113.86,113.86
2022-08-24,113.5,114.78,112.87,113.69,113.69
2022-08-25,114.24,116.72,114.11,116.65,116.65
2022-08-26,114.72,115.12,110.19,110.34,110.34
2022-08-29,109.99,110.95,108.8,109.42,109.42
2022-08-30,110.17,110.5,107.8,108.94,108.94
2022-08-31,110.65,110.85,108.13,108.22,108.22
2022-09-01,108.28,110.44,107.36,109.74,109.74
2022-09-02,110.59,110.74,107.26,107.85,107.85
2022-09-06,107.3,108.03,105.78,106.81,106.81
2022-09-07,107.06,109.98,106.9,109.45,109.45
2022-09-08,108.04,109.6,107.16,108.38,108.38
2022-09-09,109.07,110.99,109.02,110.65,110.65
2022-09-12,110.99,111.62,109.93,110.86,110.86
2022-09-13,107.8,108.3,104.09,104.32,104.32
2022-09-14,104.57,105.28,103.66,105.0,105.0
2022-09-15,104.03,105.27,102.35,102.91,102.91
2022-09-16,102.07,103.13,100.94,102.8,102.8
2022-09-19,101.75,103.33,101.55,103.07,103.07
2022-09-20,102.08,102.37,100.52,101.14,101.14
2022-09-21,101.67,102.88,99.27,99.28,99.28
2022-09-22,98.82,101.24,98.79,100.14,100.14
2022-09-23,99.63,99.66,97.47,98.74,98.74
2022-09-26,98.1,99.88,97.8,98.17,98.17
2022-09-27,99.43,100.0,96.87,97.5,97.5
2022-09-28,97.65,100.7,97.11,100.05,100.05
2022-09-29,98.64,98.64,95.96,97.42,97.42
2022-09-30,97.05,98.9,95.56,95.65,95.65
2022-10-03,96.76,99.29,96.52,98.64,98.64
2022-10-04,100.44,101.84,100.38,101.64,101.64
2022-10-05,99.82,101.93,98.8,101.43,101.43
2022-10-06,100.68,102.93,100.59,101.42,101.42
2022-10-07,99.85,100.53,98.29,98.68,98.68
2022-10-10,99.0,99.1,97.01,97.86,97.86
2022-10-11,97.43,99.25,96.31,97.18,97.18
2022-10-12,97.3,98.75,96.74,97.56,97.56
2022-10-13,95.15,99.78,94.38,99.06,99.06
2022-10-14,99.99,100.69,96.37,96.56,96.56
2022-10-17,98.86,100.93,98.83,99.97,99.97
2022-10-18,103.13,103.47,99.97,100.77,100.77
2022-10-19,100.01,101.02,98.92,99.63,99.63
2022-10-20,100.0,102.32,99.39,99.97,99.97
2022-10-21,97.85,101.31,97.72,101.13,101.13
2022-10-24,101.8,102.75,99.98,102.52,102.52
2022-10-25,102.9,104.82,102.72,104.48,104.48
2022-10-26,96.43,98.31,94.69,94.93,94.93
2022-10-27,94.52,95.43,91.8,92.22,92.22
2022-10-28,92.27,96.55,92.13,96.29,96.29
2022-10-31,95.42,96.03,93.98,94.51,94.51
2022-11-01,95.45,96.03,90.37,90.47,90.47
2022-11-02,90.94,91.18,86.88,86.97,86.97
2022-11-03,86.32,86.52,83.34,83.43,83.43
2022-11-04,85.4,86.64,83.71,86.58,86.58
2022-11-07,87.28,88.9,86.85,88.49,88.49
2022-11-08,88.9,90.32,87.59,88.9,88.9
2022-11-09,88.45,89.43,87.28,87.32,87.32
2022-11-10,92.25,94.39,91.61,93.94,93.94
2022-11-11,94.69,96.93,93.92,96.41,96.41
2022-11-14,95.09,96.79,94.51,95.7,95.7
2022-11-15,98.26,100.14,96.71,98.44,98.44
2022-11-16,97.9,99.64,97.64,98.85,98.85
2022-11-17,96.97,99.28,96.79,98.36,98.36
2022-11-18,98.77,98.9,96.37,97.43,97.43
2022-11-21,97.29,98.4,95.36,95.6,95.6
2022-11-22,95.95,97.22,94.05,97.05,97.05
2022-11-23,97.09,98.76,97.09,98.46,98.46
2022-11-25,98.24,98.64,97.4,97.46,97.46
2022-11-28,97.04,97.58,95.61,96.05,96.05
2022-11-29,95.73,96.12,94.11,95.19,95.19
2022-11-30,94.82,101.04,94.42,100.99,100.99
2022-12-01,101.02,102.25,100.25,100.99,100.99
2022-12-02,99.05,100.77,98.9,100.44,100.44
2022-12-05,99.4,101.38,99.0,99.48,99.48
2022-12-06,99.3,99.78,96.42,96.98,96.98
2022-12-07,96.41,96.88,94.71,94.94,94.94
2022-12-08,95.38,95.58,93.45,93.71,93.71
2022-12-09,93.77,94.26,92.75,92.83,92.83
2022-12-12,92.71,93.56,91.61,93.31,93.31
2022-12-13,97.76,99.53,95.03,95.63,95.63
2022-12-14,95.2,96.87,93.6,95.07,95.07
2022-12-15,93.13,93.64,90.01,90.86,90.86
2022-12-16,90.76,91.33,89.52,90.26,90.26
2022-12-19,90.25,90.56,88.21,88.44,88.44
2022-12-20,88.11,89.18,87.44,89.02,89.02
2022-12-21,89.08,90.22,88.32,89.58,89.58
2022-12-22,88.16,88.54,86.32,87.76,87.76
2022-12-23,87.11,89.54,87.07,89.23,89.23
2022-12-27,88.79,88.94,87.01,87.39,87.39
2022-12-28,86.98,88.04,85.94,86.02,86.02
2022-12-29,86.62,88.85,86.61,88.45,88.45
2022-12-30,86.98,88.3,86.57,88.23,88.23
2023-01-03,89.58,91.05,88.52,89.12,89.12
2023-01-04,90.35,90.65,87.27,88.08,88.08
2023-01-05,87.47,87.57,85.9,86.2,86.2
2023-01-06,86.79,87.69,84.86,87.34,87.34
2023-01-09,88.36,90.05,87.86,88.02,88.02
2023-01-10,85.98,88.67,85.83,88.42,88.42
2023-01-11,89.18,91.6,89.01,91.52,91.52
2023-01-12,91.48,91.87,89.75,91.13,91.13
2023-01-13,90.85,92.19,90.13,92.12,92.12
2023-01-17,92.06,92.25,90.05,91.29,91.29
2023-01-18,92.14,92.8,90.64,91.12,91.12
2023-01-19,90.72,93.61,90.63,93.05,93.05
2023-01-20,95.1,98.3,95.02,98.02,98.02
2023-01-23,97.95,100.04,97.5,99.79,99.79
2023-01-24,98.1,99.61,97.2,97.7,97.7
2023-01-25,95.57,96.16,93.76,95.22,95.22
2023-01-26,96.5,97.57,95.38,97.52,97.52
2023-01-27,97.31,100.32,97.31,99.37,99.37
2023-01-30,97.48,98.29,96.39,96.94,96.94
2023-01-31,96.87,98.88,96.82,98.84,98.84
2023-02-01,98.71,101.19,97.58,100.43,100.43
2023-02-02,105.8,107.85,105.61,107.74,107.74
2023-02-03,102.93,107.81,102.58,104.78,104.78
2023-02-06,102.4,104.36,101.88,102.9,102.9
2023-02-07,103.22,108.18,103.12,107.64,107.64
2023-02-08,102.05,103.14,98.04,99.37,99.37
2023-02-09,100.0,100.03,93.63,95.01,95.01
2023-02-10,95.45,96.75,94.25,94.57,94.57
2023-02-13,94.74,95.2,93.84,94.61,94.61
2023-02-14,94.43,94.85,92.26,94.68,94.68
2023-02-15,94.49,97.12,94.15,96.94,96.94
2023-02-16,95.37,97.68,94.74,95.51,95.51
2023-02-17,94.85,95.56,93.21,94.35,94.35
2023-02-21,93.0,93.1,91.72,91.79,91.79
2023-02-22,91.7,92.11,90.61,91.65,91.65
2023-02-23,91.92,91.94,89.76,90.89,90.89
2023-02-24,89.44,89.89,88.57,89.13,89.13
2023-02-27,89.87,90.16,89.33,89.87,89.87
2023-02-28,89.33,91.23,89.32,90.06,90.06
2023-03-01,89.98,91.03,89.67,90.36,90.36
2023-03-02,89.66,92.28,89.59,92.0,92.0
2023-03-03,92.48,93.73,92.45,93.65,93.65
2023-03-06,94.01,95.97,94.0,95.13,95.13
2023-03-07,94.98,95.67,93.53,93.86,93.86
2023-03-08,94.12,95.96,94.0,94.25,94.25
2023-03-09,94.05,95.53,91.9,92.32,92.32
2023-03-10,92.17,92.79,90.39,90.63,90.63
2023-03-13,90.09,92.57,89.42,91.11,91.11
2023-03-14,92.56,94.36,92.44,93.97,93.97
2023-03-15,93.22,96.93,92.64,96.11,96.11
2023-03-16,96.2,101.19,95.5,100.32,100.32
2023-03-17,100.26,102.83,100.1,101.62,101.62
2023-03-20,100.12,101.75,99.87,101.22,101.22
2023-03-21,101.25,105.1,101.22,104.92,104.92
2023-03-22,104.27,106.59,103.33,103.37,103.37
2023-03-23,105.06,106.3,104.46,105.6,105.6
2023-03-24,104.99,105.49,103.84,105.44,105.44
2023-03-27,104.61,104.76,101.93,102.46,102.46
2023-03-28,102.44,102.45,99.74,101.03,101.03
2023-03-29,102.28,102.49,100.65,101.39,101.39
2023-03-30,100.91,101.15,99.78,100.89,100.89
2023-03-31,101.3,103.89,101.04,103.73,103.73
2023-04-03,102.39,104.53,101.93,104.36,104.36
2023-04-04,104.33,105.58,104.04,104.72,104.72
